State,District,N,OC,P,K,AS%,SrAc%,HAc%,MAc%,SlAc%,N%,MAl%,SlAl%
ANDAMAN & NICOBAR,Nicobars,99.11%,65.96%,78.16%,89.89%,0.07,0.00,4.64,14.39,16.17,8.53,56.00,0.20
ANDAMAN & NICOBAR,North And Middle Andaman,99.91%,85.85%,98.35%,85.05%,1.48,0.28,16.80,64.69,11.19,1.52,3.98,0.07
ANDAMAN & NICOBAR,South Andamans,98.58%,74.05%,91.81%,87.86%,0.03,0.28,9.18,39.39,16.68,3.89,29.32,1.24
ANDHRA PRADESH,Anantapur,92.62%,54.21%,6.13%,15.85%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Chittoor,96.23%,36.68%,11.63%,49.93%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,East Godavari,95.82%,24.80%,13.70%,18.62%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Guntur,89.51%,51.99%,11.07%,6.16%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Krishna,90.28%,21.44%,2.28%,26.20%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Kurnool,99.69%,56.39%,8.85%,29.49%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Prakasam,93.43%,52.37%,24.88%,16.77%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Spsr Nellore,93.47%,24.58%,10.11%,58.58%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Srikakulam,88.52%,29.53%,42.62%,23.91%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Visakhapatanam,88.98%,22.07%,14.41%,51.42%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Vizianagaram,94.23%,35.39%,9.17%,23.20%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,West Godavari,87.25%,33.02%,3.41%,56.53%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ANDHRA PRADESH,Y.S.R.,98.59%,63.67%,19.79%,28.43%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
ARUNACHAL PRADESH,Changlang,7.28%,26.47%,96.80%,21.61%,0.28,8.88,54.69,29.33,3.31,1.10,2.26,0.17
ARUNACHAL PRADESH,Dibang Valley,0.48%,5.07%,79.85%,20.27%,0.00,4.46,63.73,31.45,0.24,0.00,0.00,0.12
ARUNACHAL PRADESH,East Kameng,4.05%,6.37%,84.33%,16.22%,2.62,12.05,41.57,39.39,3.06,0.19,1.06,0.06
ARUNACHAL PRADESH,East Siang,0.70%,0.00%,93.59%,39.48%,0.17,59.60,33.64,6.47,0.00,0.00,0.12,0.00
ARUNACHAL PRADESH,Kra Daadi,4.82%,10.68%,86.35%,31.03%,1.21,11.08,69.88,17.33,0.11,0.00,0.16,0.22
ARUNACHAL PRADESH,Kurung Kumey,1.37%,3.62%,93.98%,18.42%,0.52,12.22,56.80,26.51,1.38,0.86,1.72,0.00
ARUNACHAL PRADESH,Lohit,3.60%,8.64%,72.63%,12.60%,0.00,5.31,58.42,35.01,0.63,0.27,0.36,0.00
ARUNACHAL PRADESH,Lower Dibang Valley,0.68%,0.81%,88.15%,17.17%,0.14,4.09,54.98,40.52,0.27,0.00,0.00,0.00
ARUNACHAL PRADESH,Lower Subansiri,51.58%,6.00%,57.24%,41.33%,1.78,12.44,40.44,38.44,4.89,0.44,1.56,0.00
ARUNACHAL PRADESH,Papum Pare,1.11%,3.20%,80.56%,10.94%,0.39,2.71,62.54,28.93,3.15,0.92,0.83,0.53
ARUNACHAL PRADESH,Tawang,5.08%,9.46%,82.87%,8.11%,0.53,11.94,24.60,48.40,5.44,1.25,7.84,0.00
ARUNACHAL PRADESH,Upper Siang,4.13%,13.84%,96.86%,16.83%,0.00,2.28,39.94,54.92,2.43,0.00,0.43,0.00
ARUNACHAL PRADESH,Upper Subansiri,0.88%,23.12%,84.47%,33.08%,1.83,19.71,46.87,28.68,0.57,0.13,2.15,0.06
ARUNACHAL PRADESH,West Kameng,6.31%,12.94%,99.05%,7.73%,0.16,2.84,49.37,46.06,1.42,0.00,0.16,0.00
ARUNACHAL PRADESH,West Siang,0.28%,0.14%,94.26%,18.73%,0.05,0.56,39.78,57.84,1.73,0.00,0.00,0.05
ASSAM,Baksa,76.89%,57.14%,96.78%,85.38%,0.07,0.75,14.13,50.30,32.07,0.22,2.44,0.02
ASSAM,Barpeta,63.26%,29.87%,79.61%,85.48%,0.60,6.43,15.42,28.35,4.23,0.34,44.24,0.40
ASSAM,Biswanath,93.69%,43.37%,94.08%,28.57%,0.09,0.44,5.39,16.21,76.54,0.26,1.03,0.04
ASSAM,Bongaigaon,67.93%,26.10%,84.49%,87.01%,0.58,6.47,11.81,35.17,14.34,0.63,30.81,0.19
ASSAM,Cachar,0.89%,2.40%,56.50%,74.86%,0.41,18.84,66.12,11.68,2.00,0.03,0.91,0.00
ASSAM,Charaideo,100.00%,33.33%,100.00%,100.00%,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
ASSAM,Chirang,80.90%,37.67%,95.15%,76.17%,0.00,0.28,15.79,51.21,4.69,0.14,27.74,0.14
ASSAM,Darrang,91.73%,78.67%,95.44%,79.36%,0.21,1.20,35.90,45.70,15.68,0.03,0.55,0.73
ASSAM,Dhemaji,89.83%,66.67%,65.08%,5.56%,0.09,4.18,49.47,37.52,8.72,0.00,0.02,0.00
ASSAM,Dhubri,0.26%,1.19%,18.65%,78.11%,0.04,2.80,49.01,47.42,0.66,0.00,0.04,0.02
ASSAM,Dibrugarh,53.10%,10.69%,98.12%,94.31%,0.12,15.56,43.41,39.45,1.15,0.06,0.14,0.10
ASSAM,Goalpara,5.12%,5.62%,72.66%,66.57%,0.36,19.30,68.27,11.25,0.53,0.00,0.29,0.01
ASSAM,Golaghat,29.08%,1.23%,97.57%,83.23%,0.37,25.64,49.71,23.91,0.16,0.04,0.16,0.00
ASSAM,Hailakandi,0.34%,1.27%,94.39%,77.36%,0.10,7.77,80.27,11.81,0.04,0.00,0.02,0.00
ASSAM,HOJAI,91.50%,38.46%,57.69%,89.10%,0.00,1.92,1.28,5.13,45.51,0.64,45.51,0.00
ASSAM,Jorhat,1.85%,5.11%,68.87%,69.32%,1.24,30.25,47.96,15.46,3.91,0.05,1.14,0.00
ASSAM,Kamrup,4.12%,5.12%,72.62%,85.60%,0.23,15.06,34.80,39.52,8.43,0.29,1.65,0.01
ASSAM,Kamrup Metro,0.71%,1.42%,59.45%,65.53%,0.08,19.47,37.93,35.69,4.15,0.04,2.60,0.04
ASSAM,Karbi Anglong,87.37%,55.81%,65.79%,7.29%,0.05,4.03,50.44,38.01,7.43,0.05,0.00,0.00
ASSAM,Karimganj,0.29%,4.79%,61.64%,70.86%,0.07,13.45,72.97,12.14,0.93,0.02,0.39,0.03
ASSAM,Kokrajhar,86.58%,82.04%,85.25%,88.64%,0.04,0.08,13.32,7.56,7.44,0.25,70.89,0.42
ASSAM,Lakhimpur,91.47%,57.44%,79.52%,61.30%,0.06,2.08,46.19,44.36,6.91,0.00,0.37,0.03
ASSAM,Majuli,2.68%,7.38%,71.81%,76.18%,0.34,16.78,55.37,18.12,2.01,0.00,7.38,0.00
ASSAM,Marigaon,0.68%,1.54%,48.49%,66.42%,0.07,0.54,25.84,37.72,31.80,0.61,3.37,0.04
ASSAM,Nagaon,76.28%,20.07%,95.80%,94.25%,0.10,4.05,39.68,37.54,12.47,0.20,5.77,0.18
ASSAM,Nalbari,93.70%,69.69%,71.94%,86.86%,0.55,0.03,10.50,30.33,44.76,0.33,13.25,0.25
ASSAM,Sivasagar,57.98%,10.13%,98.96%,86.90%,0.11,15.23,44.42,39.40,0.71,0.03,0.05,0.05
ASSAM,Sonitpur,94.91%,42.66%,97.52%,50.48%,0.15,0.84,11.13,24.63,62.03,0.23,0.99,0.00
ASSAM,SOUTH SALMARA MANCACHAR,0.58%,6.27%,19.52%,80.01%,0.18,7.37,34.97,52.64,4.49,0.05,0.29,0.02
ASSAM,Tinsukia,72.93%,38.39%,97.52%,98.58%,0.11,7.85,24.60,29.16,3.73,0.37,34.17,0.03
ASSAM,Udalguri,0.28%,0.75%,5.85%,67.97%,0.04,29.12,55.53,15.26,0.02,0.00,0.03,0.00
BIHAR,Araria,31.55%,15.45%,52.91%,49.67%,0.24,0.00,0.06,65.11,34.53,0.00,0.00,0.06
BIHAR,Arwal,38.28%,34.76%,31.97%,95.65%,0.09,0.09,8.44,26.44,8.91,0.09,55.66,0.28
BIHAR,Aurangabad,0.00%,0.00%,0.00%,50.00%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
BIHAR,Banka,96.84%,92.80%,0.97%,97.44%,0.18,0.03,0.02,15.46,43.36,12.65,27.99,0.31
BIHAR,Begusarai,99.60%,31.94%,5.29%,4.36%,0.26,0.03,0.01,5.51,24.82,9.84,59.32,0.21
BIHAR,Bhagalpur,90.27%,82.37%,55.28%,7.31%,0.08,0.00,0.77,29.72,23.72,3.68,42.02,0.02
BIHAR,Bhojpur,57.43%,46.74%,96.36%,28.42%,0.24,0.13,0.81,7.77,10.74,0.11,79.97,0.23
BIHAR,Buxar,50.05%,34.90%,47.66%,40.66%,0.42,0.06,0.14,17.64,29.31,0.62,51.62,0.20
BIHAR,Darbhanga,49.20%,32.76%,0.43%,29.24%,0.12,0.04,0.15,4.49,4.57,0.34,80.54,9.75
BIHAR,Gaya,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
BIHAR,Gopalganj,99.90%,79.46%,97.01%,88.75%,0.05,0.00,0.00,0.13,0.26,3.45,93.09,3.03
BIHAR,Jamui,100.00%,100.00%,0.00%,20.00%,0.00,0.00,20.00,20.00,0.00,0.00,20.00,40.00
BIHAR,Kaimur (Bhabua),58.73%,51.23%,20.58%,75.65%,0.43,0.26,2.31,9.01,7.68,0.26,69.16,10.90
BIHAR,Katihar,59.23%,43.60%,24.50%,22.13%,0.94,3.85,10.05,34.90,36.79,6.27,7.11,0.09
BIHAR,Khagaria,99.96%,0.25%,23.65%,1.64%,0.29,0.00,0.00,0.01,0.19,0.84,97.96,0.71
BIHAR,Kishanganj,100.00%,100.00%,0.00%,0.00%,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
BIHAR,Madhepura,70.67%,39.63%,15.73%,11.37%,0.10,0.07,0.31,13.66,25.58,3.27,56.71,0.31
BIHAR,Madhubani,58.82%,23.53%,0.00%,47.06%,0.00,0.00,5.88,0.00,58.82,0.00,35.29,0.00
BIHAR,Munger,41.73%,30.14%,3.68%,0.50%,0.02,0.00,0.00,5.01,23.50,0.11,71.37,0.00
BIHAR,Muzaffarpur,98.52%,16.03%,13.65%,5.93%,0.19,0.00,0.00,0.05,1.00,0.44,81.25,17.07
BIHAR,Nalanda,57.15%,57.15%,57.15%,28.57%,0.00,0.00,0.00,0.00,14.29,0.00,85.71,0.00
BIHAR,Nawada,50.00%,50.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
BIHAR,Pashchim Champaran,100.00%,50.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,25.00,0.00,75.00,0.00
BIHAR,Patna,25.37%,10.72%,1.21%,22.32%,0.12,0.03,0.13,12.71,39.05,9.22,38.43,0.31
BIHAR,Purbi Champaran,91.67%,66.66%,8.33%,58.33%,0.00,0.00,0.00,16.67,8.33,0.00,75.00,0.00
BIHAR,Purnia,0.00%,0.00%,0.00%,100.00%,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
BIHAR,Rohtas,22.44%,8.75%,2.38%,1.14%,0.81,0.00,0.01,12.92,31.67,0.51,53.91,0.16
BIHAR,Saharsa,20.00%,20.00%,0.00%,60.00%,0.00,0.00,0.00,20.00,0.00,0.00,60.00,20.00
BIHAR,Samastipur,90.00%,10.00%,0.00%,10.00%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
BIHAR,Saran,100.00%,44.44%,0.00%,0.00%,0.00,0.00,0.00,0.00,5.56,0.00,94.44,0.00
BIHAR,Sheikhpura,100.00%,57.14%,42.86%,14.29%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
BIHAR,Sitamarhi,54.98%,22.51%,15.17%,93.04%,0.06,0.00,0.03,9.01,36.25,0.20,54.32,0.12
BIHAR,Siwan,94.91%,42.37%,25.42%,23.73%,0.00,0.00,1.69,1.69,1.69,0.00,62.71,32.20
BIHAR,Supaul,100.00%,100.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
BIHAR,Vaishali,100.00%,57.14%,42.86%,14.29%,0.00,0.00,0.00,0.00,0.00,0.00,42.86,57.14
CHANDIGRAH,Chandigarh,52.47%,93.70%,34.56%,50.82%,0.01,0.01,0.00,1.18,4.23,2.76,89.45,2.37
CHHATTISGARH,Balod,76.98%,48.03%,50.05%,13.34%,0.16,0.34,1.78,25.97,19.09,2.07,50.37,0.21
CHHATTISGARH,Baloda Bazar,91.03%,33.64%,30.56%,14.01%,0.20,0.24,8.61,37.84,21.89,4.62,26.28,0.32
CHHATTISGARH,Balrampur,81.84%,58.93%,12.11%,21.37%,0.72,14.37,34.31,41.19,6.75,0.22,0.84,1.60
CHHATTISGARH,Bastar,73.40%,52.95%,27.85%,26.85%,1.02,2.16,32.00,49.99,8.83,0.94,5.01,0.05
CHHATTISGARH,Bemetara,44.63%,32.12%,14.40%,22.70%,0.31,0.06,0.60,10.58,27.92,0.19,59.65,0.68
CHHATTISGARH,Bijapur,63.65%,43.02%,20.80%,47.80%,2.19,9.24,21.22,45.18,11.75,0.40,9.48,0.54
CHHATTISGARH,Bilaspur,62.28%,42.54%,24.62%,28.64%,1.92,2.65,9.59,35.72,17.96,4.30,23.80,4.06
CHHATTISGARH,Dantewada,61.02%,55.48%,36.46%,26.94%,0.20,1.44,18.84,62.98,11.42,0.34,4.55,0.23
CHHATTISGARH,Dhamtari,87.91%,43.44%,52.62%,9.72%,0.13,0.69,7.71,42.67,22.87,1.61,23.99,0.34
CHHATTISGARH,Durg,21.18%,4.27%,6.83%,7.68%,0.22,0.16,0.68,26.88,28.57,0.32,43.05,0.11
CHHATTISGARH,Gariyaband,93.46%,38.40%,33.01%,23.17%,0.43,1.31,22.61,48.87,14.50,0.41,10.64,1.25
CHHATTISGARH,Janjgir-Champa,81.97%,48.79%,63.31%,16.65%,0.30,2.00,12.51,53.21,20.84,0.38,10.19,0.58
CHHATTISGARH,Jashpur,71.34%,42.48%,40.53%,39.44%,0.62,25.88,42.61,28.77,1.40,0.11,0.52,0.10
CHHATTISGARH,Kabirdham,70.28%,41.24%,36.64%,12.55%,0.34,0.35,2.64,14.14,15.27,5.90,60.11,1.27
CHHATTISGARH,Kanker,38.55%,59.58%,43.48%,39.10%,0.65,1.98,19.88,42.35,14.94,0.48,18.00,1.71
CHHATTISGARH,Kondagaon,71.00%,67.07%,64.79%,24.55%,1.38,6.48,23.77,58.12,7.66,0.25,2.14,0.20
CHHATTISGARH,Korba,63.67%,43.90%,28.71%,22.96%,0.33,5.57,40.20,42.35,6.88,0.31,4.08,0.27
CHHATTISGARH,Korea,78.75%,53.30%,13.86%,20.56%,0.48,2.65,25.87,58.16,8.79,0.90,2.98,0.18
CHHATTISGARH,Mahasamund,65.86%,52.37%,18.53%,20.85%,0.14,0.43,11.53,54.60,21.29,0.67,11.01,0.33
CHHATTISGARH,Mungeli,72.22%,55.09%,30.84%,10.80%,0.16,0.31,1.72,20.08,17.73,5.95,53.55,0.50
CHHATTISGARH,Narayanpur,69.33%,29.73%,1.17%,37.69%,0.04,0.79,14.34,57.15,18.10,1.13,8.41,0.04
CHHATTISGARH,Raigarh,63.55%,60.43%,34.83%,18.71%,0.15,1.40,17.84,56.99,13.56,1.21,8.75,0.09
CHHATTISGARH,Raipur,87.73%,54.76%,27.29%,16.40%,0.11,0.05,1.59,37.94,27.77,5.17,27.19,0.18
CHHATTISGARH,Rajnandgaon,95.14%,89.54%,45.54%,16.06%,0.05,0.27,3.36,26.87,21.95,9.07,38.32,0.11
CHHATTISGARH,Sukma,72.82%,42.48%,13.90%,48.77%,1.73,7.40,21.76,47.94,16.54,0.04,4.09,0.50
CHHATTISGARH,Surajpur,87.91%,34.44%,21.17%,9.47%,0.86,3.19,26.67,55.14,9.87,0.43,3.59,0.25
CHHATTISGARH,Surguja,77.81%,52.41%,13.42%,7.54%,0.46,4.58,24.38,58.07,9.22,0.79,2.39,0.10
DELHI,North,0.00%,0.00%,100.00%,50.00%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
DELHI,North West,0.00%,0.00%,100.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
DELHI,South West,81.08%,71.18%,49.55%,13.51%,0.00,0.00,0.00,0.00,8.11,0.00,81.98,9.91
GOA,North Goa,34.54%,14.50%,71.89%,22.88%,0.07,3.60,41.15,46.79,4.78,1.85,1.72,0.03
GOA,South Goa,15.29%,3.88%,75.25%,23.29%,0.14,2.82,28.22,62.84,2.93,0.34,2.63,0.09
Gujarat,Ahmadabad,99.98%,32.90%,32.56%,20.02%,16.33,0.00,0.00,0.45,3.07,2.06,77.92,0.17
Gujarat,Amreli,99.74%,33.80%,18.54%,9.80%,0.00,0.00,0.00,0.72,6.84,2.11,90.11,0.21
Gujarat,Anand,96.98%,27.01%,46.32%,44.96%,27.09,0.00,0.02,1.12,3.87,2.97,63.45,1.46
Gujarat,Aravalli,100.00%,43.09%,16.56%,37.15%,0.56,0.05,0.08,0.94,6.58,1.16,89.17,1.45
Gujarat,Banas Kantha,100.00%,33.23%,19.61%,14.92%,0.38,0.00,0.00,0.17,1.32,1.15,96.58,0.41
Gujarat,Bharuch,99.86%,37.94%,17.51%,3.78%,0.00,0.00,0.00,0.60,9.44,3.89,85.19,0.88
Gujarat,Bhavnagar,99.98%,32.66%,18.94%,10.15%,0.07,0.00,0.00,0.33,3.85,2.55,92.30,0.90
Gujarat,Botad,100.00%,41.04%,18.13%,5.04%,0.00,0.00,0.00,0.42,4.49,2.13,92.70,0.26
Gujarat,Chhotaudepur,99.93%,52.41%,16.35%,5.21%,0.12,0.00,0.00,2.77,11.21,3.54,80.34,2.01
Gujarat,Dohad,98.77%,51.89%,7.32%,13.31%,0.01,0.00,0.01,0.63,6.92,3.70,86.74,1.98
Gujarat,Dang,99.96%,16.26%,2.03%,14.94%,0.03,0.00,0.02,2.93,6.70,3.47,77.53,9.32
Gujarat,Devbhumidwarka,99.74%,39.71%,29.63%,26.43%,0.20,0.00,0.00,0.01,0.06,0.16,86.75,12.83
Gujarat,Gandhinagar,99.99%,39.07%,22.10%,8.62%,2.46,0.01,0.02,3.93,13.48,3.80,75.69,0.60
Gujarat,Girsomnath,96.94%,35.64%,10.04%,2.95%,0.14,0.00,0.00,0.56,8.31,2.59,88.25,0.14
Gujarat,Jamnagar,99.89%,16.91%,16.03%,18.76%,0.00,0.00,0.00,0.04,4.03,1.43,93.90,0.60
Gujarat,Junagadh,99.78%,44.02%,12.76%,5.57%,0.22,0.00,0.01,0.24,2.88,4.18,91.57,0.90
Gujarat,Kachchh,100.00%,68.21%,11.29%,8.13%,1.25,0.00,0.01,1.52,2.45,1.63,90.85,2.29
Gujarat,Kheda,100.00%,45.19%,16.67%,16.35%,0.01,0.01,0.01,0.65,6.32,3.13,89.51,0.36
Gujarat,Mahesana,99.90%,66.14%,5.40%,2.17%,0.03,0.00,0.00,3.23,8.00,2.57,85.79,0.37
Gujarat,Mahisagar,100.00%,36.41%,15.58%,2.35%,0.00,0.00,0.00,3.39,13.13,5.27,77.98,0.23
Gujarat,Morbi,99.98%,41.78%,19.65%,5.68%,0.14,0.00,0.00,0.33,4.84,3.14,91.21,0.34
Gujarat,Narmada,99.99%,52.87%,12.19%,3.53%,3.37,0.00,0.00,1.39,4.77,3.15,87.27,0.04
Gujarat,Navsari,98.83%,51.69%,17.52%,6.61%,0.00,0.00,0.04,4.71,9.32,4.04,81.18,0.71
Gujarat,Panch Mahals,99.99%,20.78%,15.68%,17.30%,4.06,0.00,0.01,3.21,12.83,4.09,75.64,0.16
Gujarat,Patan,99.99%,51.07%,23.69%,6.71%,6.91,0.00,0.00,0.97,6.87,1.97,83.02,0.26
Gujarat,Porbandar,99.99%,57.37%,10.44%,1.22%,0.04,0.00,0.00,0.04,6.34,0.61,88.89,4.08
Gujarat,Rajkot,99.82%,49.18%,31.15%,0.89%,0.01,0.00,0.00,0.35,4.08,1.77,92.99,0.81
Gujarat,Sabar Kantha,99.98%,35.58%,25.70%,17.94%,0.01,0.00,0.00,0.81,5.48,1.70,91.03,0.97
Gujarat,Surat,99.50%,47.77%,18.69%,6.09%,0.28,0.00,0.00,0.88,9.90,3.65,84.63,0.67
Gujarat,Surendranagar,99.78%,46.36%,39.00%,7.24%,0.02,0.03,0.17,1.91,3.47,1.48,85.48,7.42
Gujarat,Tapi,99.77%,52.69%,8.57%,6.55%,0.07,0.01,0.03,0.62,18.27,5.55,75.31,0.13
Gujarat,Vadodara,99.97%,43.80%,33.28%,19.87%,10.13,0.00,0.16,1.64,8.14,3.11,76.06,0.76
Gujarat,Valsad,96.56%,55.48%,25.29%,3.26%,0.01,0.00,0.07,7.21,9.11,3.58,79.13,0.89
Haryana,Ambala,100.00%,92.68%,65.85%,52.20%,0.21,0.00,0.01,0.51,2.76,1.49,86.75,8.26
Haryana,Bhiwani,99.99%,98.30%,80.63%,53.60%,0.02,0.00,0.00,0.29,0.51,0.92,94.55,3.71
Haryana,Faridabad,99.90%,99.88%,99.93%,1.95%,0.02,0.00,0.01,0.00,0.00,0.40,98.01,1.57
Haryana,Fatehabad,99.76%,92.82%,79.31%,50.85%,0.43,0.01,0.01,0.37,1.23,0.43,92.13,5.40
Haryana,Gurgaon,97.71%,95.04%,75.81%,56.48%,0.37,0.00,0.01,0.41,0.56,1.28,95.56,1.82
Haryana,Hisar,100.00%,96.77%,62.10%,20.91%,0.05,0.01,0.00,0.11,0.55,2.51,96.53,0.24
Haryana,Jhajjar,100.00%,97.01%,93.51%,23.41%,0.09,0.04,0.00,0.21,1.03,1.34,95.25,2.04
Haryana,Jind,99.97%,98.72%,92.72%,5.59%,0.10,0.00,0.01,0.04,0.35,0.57,93.96,4.96
Haryana,Kaithal,99.20%,97.84%,69.49%,30.48%,0.18,0.00,0.00,0.08,0.60,0.62,76.80,21.71
Haryana,Karnal,100.00%,96.06%,91.67%,54.47%,0.07,0.00,0.00,0.01,0.04,0.13,84.72,15.02
Haryana,Kurukshetra,99.18%,92.66%,96.30%,42.87%,0.09,0.01,0.01,0.22,1.41,1.51,87.87,8.88
Haryana,Mahendragarh,99.75%,88.01%,97.89%,41.60%,0.33,0.04,0.03,0.57,0.83,0.17,87.08,10.95
Haryana,Mewat,99.99%,95.66%,81.22%,31.43%,0.22,0.00,0.00,0.03,0.29,0.77,96.46,2.23
