State,District,N,OC,P,K,AS%,SrAc%,HAc%,MAc%,SlAc%,N%,MAl%,SlAl%
Maharashtra,Jalgaon,93.05%,97.25%,25.60%,0.08%,0.02,0.00,0.00,1.29,2.92,0.81,92.24,2.72
Maharashtra,Jalna,83.74%,58.96%,42.76%,4.47%,0.30,0.01,0.01,0.11,0.58,0.13,97.03,1.83
Maharashtra,Kolhapur,28.77%,34.96%,26.77%,28.38%,0.05,0.49,9.42,22.45,14.22,1.45,51.35,0.58
Maharashtra,Latur,73.97%,74.92%,74.70%,1.40%,0.03,0.00,0.00,0.06,1.71,0.81,96.56,0.82
Maharashtra,Nagpur,19.87%,31.55%,3.63%,7.89%,0.41,0.00,0.04,2.00,4.81,0.51,86.65,5.57
Maharashtra,Nanded,16.37%,29.59%,79.86%,1.59%,0.02,0.00,0.06,0.11,0.66,0.13,98.75,0.27
Maharashtra,Nandurbar,88.84%,76.99%,6.62%,1.60%,0.26,0.08,0.08,2.46,4.81,0.83,90.41,1.07
Maharashtra,Nashik,61.98%,42.31%,11.13%,10.39%,0.22,0.02,0.07,3.13,4.81,0.94,86.31,4.50
Maharashtra,Osmanabad,18.79%,37.49%,73.54%,0.41%,0.03,0.00,0.01,0.04,0.32,0.32,99.13,0.14
Maharashtra,Palghar,17.36%,22.94%,1.92%,0.31%,0.03,0.00,0.03,8.23,33.03,1.52,57.10,0.05
Maharashtra,Parbhani,46.48%,70.08%,54.52%,0.30%,0.06,0.01,0.01,0.10,0.17,0.32,91.10,8.23
Maharashtra,Pune,41.16%,38.27%,47.49%,3.08%,0.11,0.01,0.36,3.58,2.88,0.33,87.74,5.00
Maharashtra,Raigad,28.92%,17.88%,21.70%,6.03%,0.21,1.51,5.34,52.83,25.12,0.51,14.36,0.12
Maharashtra,Ratnagiri,24.90%,19.34%,41.32%,1.01%,0.08,1.03,10.73,50.30,13.50,0.20,24.11,0.04
Maharashtra,Sangli,90.85%,57.96%,18.54%,9.80%,0.03,0.01,0.01,1.80,4.44,1.11,89.79,2.81
Maharashtra,Satara,91.18%,79.07%,30.88%,21.82%,0.18,0.05,0.48,5.24,5.72,0.17,87.14,1.04
Maharashtra,Sindhudurg,9.29%,2.63%,40.09%,21.73%,0.22,3.54,40.12,48.31,3.56,0.32,3.87,0.06
Maharashtra,Solapur,50.74%,63.18%,25.66%,11.49%,0.35,0.01,0.03,0.87,1.84,0.29,92.49,4.11
Maharashtra,Thane,4.74%,5.74%,16.51%,10.33%,0.01,0.00,1.38,26.33,30.13,7.49,34.52,0.13
Maharashtra,Wardha,45.52%,62.58%,6.20%,4.92%,0.10,0.05,0.06,2.62,6.87,0.53,87.41,2.36
Maharashtra,Washim,57.12%,68.46%,44.80%,0.20%,0.01,0.00,0.00,0.15,2.77,1.78,94.15,1.15
Maharashtra,Yavatmal,55.30%,65.27%,11.16%,2.05%,0.09,0.01,0.02,0.86,2.07,0.20,94.85,1.90
Manipur,Bishnupur,100.00%,0.00%,100.00%,100.00%,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manipur,Chandel,0.00%,0.00%,100.00%,100.00%,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
Manipur,Tamenglong,100.00%,58.62%,17.24%,100.00%,0.00,0.00,0.00,6.90,31.03,0.00,62.07,0.00
Manipur,Thoubal,0.00%,0.00%,0.00%,100.00%,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
Manipur,Ukhrul,100.00%,0.00%,100.00%,59.26%,0.00,0.00,0.00,22.22,25.93,0.00,51.85,0.00
Meghalaya,East Garo Hills,100.00%,10.60%,94.41%,57.18%,0.05,0.00,0.18,99.77,0.00,0.00,0.00,0.00
Meghalaya,East Jaintia Hills,100.00%,9.83%,87.66%,60.54%,0.00,8.00,78.70,13.22,0.04,0.00,0.00,0.04
Meghalaya,East Khasi Hills,68.75%,3.02%,60.23%,68.47%,0.03,17.53,53.32,28.10,0.65,0.02,0.32,0.03
Meghalaya,North Garo Hills,0.00%,26.55%,84.79%,56.72%,0.50,0.00,0.42,98.07,1.01,0.00,0.00,0.00
Meghalaya,Ri Bhoi,88.89%,3.64%,72.77%,54.99%,0.10,10.12,41.10,48.36,0.29,0.00,0.00,0.03
Meghalaya,South Garo Hills,100.00%,11.10%,94.40%,94.50%,0.12,0.00,0.69,99.02,0.17,0.00,0.00,0.00
Meghalaya,South West Garo Hills,100.00%,15.50%,94.32%,90.63%,0.04,0.22,2.48,97.16,0.11,0.00,0.00,0.00
Meghalaya,South West Khasi Hills,80.00%,1.00%,66.08%,83.55%,0.06,1.05,41.28,57.20,0.18,0.00,0.06,0.18
Meghalaya,West Garo Hills,100.00%,10.98%,97.16%,82.02%,0.02,0.02,0.59,99.36,0.02,0.00,0.00,0.00
Meghalaya,West Jaintia Hills,74.93%,4.23%,64.72%,43.42%,0.06,2.52,68.45,28.61,0.29,0.03,0.00,0.03
Meghalaya,West Khasi Hills,100.00%,2.51%,75.56%,60.36%,0.07,10.98,45.39,43.16,0.39,0.00,0.00,0.00
Mizoram,Aizawl,1.08%,61.51%,99.68%,20.40%,0.00,0.27,73.64,25.61,0.49,0.00,0.00,0.00
Mizoram,Champhai,3.51%,53.89%,99.49%,10.61%,0.03,0.00,41.42,58.24,0.00,0.00,0.31,0.00
Mizoram,Kolasib,16.90%,38.78%,97.24%,12.25%,0.07,0.20,26.69,72.91,0.13,0.00,0.00,0.00
Mizoram,Lawngtlai,28.21%,39.64%,88.23%,27.95%,0.00,0.54,33.96,59.84,5.48,0.00,0.00,0.18
Mizoram,Lunglei,34.69%,42.02%,83.85%,25.36%,0.00,5.98,32.60,58.19,1.02,1.85,0.24,0.12
Mizoram,Mamit,1.91%,22.19%,99.82%,7.36%,0.00,0.09,62.55,36.73,0.55,0.00,0.09,0.00
Mizoram,Saiha,43.34%,37.53%,87.89%,30.51%,0.00,0.73,45.04,53.75,0.24,0.00,0.00,0.24
Mizoram,Serchhip,3.51%,84.36%,99.86%,3.79%,0.07,0.70,86.95,12.28,0.00,0.00,0.00,0.00
Nagaland,Dimapur,5.12%,10.24%,83.12%,46.49%,1.39,13.41,60.92,23.93,0.21,0.07,0.04,0.04
Nagaland,Kiphire,5.79%,5.93%,100.00%,11.03%,0.00,7.13,72.14,20.73,0.00,0.00,0.00,0.00
Nagaland,Kohima,3.73%,2.06%,88.15%,31.56%,0.24,8.60,59.21,30.34,0.87,0.14,0.45,0.14
Nagaland,Longleng,19.76%,5.27%,38.17%,26.19%,0.49,27.65,61.05,10.52,0.10,0.00,0.19,0.00
Nagaland,Mokokchung,8.97%,1.16%,91.45%,26.37%,0.00,5.06,60.44,33.76,0.21,0.00,0.32,0.21
Nagaland,Mon,2.77%,2.04%,84.07%,16.93%,0.12,35.37,48.34,14.93,0.31,0.12,0.50,0.31
Nagaland,Peren,5.02%,3.04%,91.01%,8.57%,0.52,32.29,39.08,25.50,2.19,0.10,0.31,0.00
Nagaland,Phek,1.91%,5.32%,77.85%,19.56%,0.41,9.45,54.73,31.57,2.18,0.37,1.29,0.00
Nagaland,Tuensang,6.87%,8.78%,87.90%,15.08%,0.14,27.52,60.09,11.88,0.14,0.00,0.05,0.19
Nagaland,Wokha,3.89%,4.14%,85.98%,24.15%,0.26,13.49,61.45,24.74,0.00,0.07,0.00,0.00
Nagaland,Zunheboto,0.47%,0.37%,94.61%,20.25%,0.47,35.48,40.59,14.19,3.12,0.76,5.39,0.00
Odisha,Anugul,100.00%,15.15%,79.18%,16.43%,0.02,8.16,34.61,36.12,8.61,0.43,11.75,0.29
Odisha,Balangir,100.00%,21.37%,89.51%,31.08%,0.24,0.00,0.15,43.58,38.37,4.55,13.09,0.02
Odisha,Baleshwar,100.00%,81.63%,45.05%,74.26%,0.00,0.71,18.25,73.18,6.38,0.54,0.92,0.01
Odisha,Bargarh,99.61%,58.65%,48.52%,23.74%,0.11,0.58,10.32,57.71,20.52,1.93,8.67,0.17
Odisha,Bhadrak,89.23%,32.61%,87.18%,80.24%,0.14,1.38,44.62,48.04,4.70,0.09,0.98,0.05
Odisha,Boudh,75.00%,59.66%,58.59%,17.73%,0.00,1.46,11.01,32.30,20.42,4.46,30.35,0.00
Odisha,Cuttack,100.00%,66.82%,50.49%,36.39%,0.18,9.69,38.27,47.35,3.13,0.01,1.34,0.04
Odisha,Deogarh,68.75%,81.93%,55.40%,10.97%,0.06,1.15,19.35,50.81,12.00,5.41,11.04,0.17
Odisha,Dhenkanal,100.00%,78.24%,44.15%,12.26%,1.81,50.02,31.44,13.25,1.64,0.00,1.82,0.02
Odisha,Gajapati,84.95%,46.28%,6.14%,7.57%,0.04,2.74,32.26,48.83,12.24,0.12,3.74,0.04
Odisha,Ganjam,100.00%,27.80%,78.98%,30.77%,0.32,2.95,17.84,43.25,15.60,3.76,16.16,0.13
Odisha,Jagatsinghapur,0.00%,77.83%,71.78%,39.19%,0.00,0.53,43.01,55.39,0.76,0.02,0.28,0.00
Odisha,Jajapur,89.29%,75.34%,72.96%,79.34%,0.21,7.30,45.02,41.08,3.72,0.01,2.61,0.05
Odisha,Jharsuguda,100.00%,65.22%,68.73%,67.48%,0.41,37.58,45.32,16.33,0.28,0.02,0.06,0.00
Odisha,Kalahandi,96.88%,59.02%,49.43%,1.63%,0.02,0.03,5.73,73.23,14.68,0.95,5.35,0.02
Odisha,Kandhamal,100.00%,91.64%,97.66%,11.76%,0.00,0.13,20.17,68.62,6.57,0.98,3.41,0.13
Odisha,Kendrapara,100.00%,55.27%,70.00%,35.30%,0.22,21.40,61.23,15.94,0.82,0.01,0.31,0.07
Odisha,Kendujhar,100.00%,72.51%,89.88%,81.62%,0.02,0.03,1.98,88.21,6.83,0.02,2.90,0.01
Odisha,Khordha,100.00%,82.43%,64.16%,38.56%,0.16,13.40,53.76,22.66,3.21,0.02,6.77,0.02
Odisha,Koraput,54.93%,57.15%,86.65%,12.00%,0.08,1.76,23.95,69.42,3.34,0.10,1.31,0.05
Odisha,Malkangiri,100.00%,68.63%,10.29%,40.59%,0.04,0.29,36.58,53.54,6.31,0.51,2.60,0.14
Odisha,Mayurbhanj,94.44%,44.00%,97.47%,50.16%,0.06,11.92,63.24,19.51,3.56,0.33,1.33,0.05
Odisha,Nabarangpur,100.00%,84.38%,71.91%,24.01%,0.25,9.40,57.49,31.52,0.50,0.00,0.76,0.08
Odisha,Nayagarh,100.00%,81.59%,92.02%,30.20%,0.02,0.98,36.08,44.89,8.07,0.10,9.86,0.00
Odisha,Nuapada,100.00%,62.12%,87.67%,4.89%,0.04,1.73,5.51,44.85,38.46,3.20,6.19,0.02
Odisha,Puri,95.58%,82.02%,80.46%,65.38%,0.40,12.54,64.33,21.16,0.93,0.04,0.56,0.05
Odisha,Rayagada,100.00%,77.09%,96.58%,44.57%,0.41,19.00,42.65,30.22,5.02,0.04,2.60,0.06
Odisha,Sambalpur,95.00%,77.03%,63.65%,13.31%,0.05,1.41,16.45,55.33,15.13,2.83,8.74,0.06
Odisha,Sonepur,100.00%,99.96%,8.37%,26.21%,0.02,0.01,1.08,42.08,26.83,5.09,24.82,0.08
Odisha,Sundargarh,100.00%,30.60%,47.20%,34.19%,0.04,1.77,31.20,53.94,12.62,0.29,0.09,0.05
Puducherry,Karaikal,100.00%,0.00%,52.11%,50.83%,0.00,0.00,5.19,42.80,18.12,1.96,31.54,0.39
Puducherry,Pondicherry,98.54%,0.00%,99.87%,28.28%,0.06,0.03,0.50,6.80,7.02,3.41,71.20,10.99
Punjab,Amritsar,100.00%,91.05%,81.52%,57.45%,1.30,0.00,0.02,0.17,1.07,1.63,83.05,12.76
Punjab,Barnala,55.53%,61.33%,83.69%,75.32%,0.90,0.01,0.04,1.29,1.70,0.40,83.11,12.55
Punjab,Bathinda,94.12%,89.83%,63.97%,13.49%,0.03,0.00,0.00,0.01,0.03,1.78,89.27,8.88
Punjab,Faridkot,100.00%,93.33%,55.22%,12.28%,0.00,0.00,0.00,0.01,0.00,0.02,99.65,0.32
Punjab,Fatehgarh Sahib,100.00%,81.25%,54.99%,31.53%,0.53,0.02,0.01,0.01,0.00,0.63,96.78,2.04
Punjab,Fazilka,100.00%,91.52%,62.21%,23.91%,0.00,0.00,0.00,0.00,0.00,0.40,95.96,3.63
Punjab,Firozepur,100.00%,90.66%,57.64%,11.09%,0.03,0.00,0.00,0.00,0.00,0.99,93.21,5.77
Punjab,Gurdaspur,48.38%,97.90%,58.55%,37.75%,0.02,0.01,0.01,0.28,0.15,2.72,90.04,6.78
Punjab,Hoshiarpur,100.00%,91.13%,56.01%,48.89%,0.00,0.00,0.00,0.00,0.00,0.51,98.65,0.84
Punjab,Jalandhar,100.00%,96.12%,82.25%,47.43%,0.00,0.00,0.00,0.00,0.01,0.23,90.49,9.27
Punjab,Kapurthala,100.00%,78.53%,64.30%,13.44%,0.20,0.00,0.01,0.11,0.17,0.21,86.67,12.64
Punjab,Ludhiana,100.00%,90.06%,80.99%,79.29%,0.00,0.00,0.00,0.03,2.21,0.59,90.74,6.42
Punjab,Mansa,60.00%,93.07%,68.70%,9.25%,0.01,0.00,0.00,0.13,0.30,0.74,95.03,3.79
Punjab,Moga,100.00%,97.74%,77.61%,39.11%,0.50,0.00,0.00,0.24,0.37,0.57,87.17,11.15
Punjab,Muktsar,100.00%,87.21%,61.43%,8.02%,0.04,0.03,0.06,0.70,0.16,0.31,92.87,5.84
Punjab,Nawanshahr,93.75%,96.88%,90.71%,23.60%,0.03,0.00,0.00,0.01,0.01,1.36,86.55,12.05
Punjab,Pathankot,100.00%,97.53%,60.77%,22.04%,0.03,0.00,0.00,0.00,0.00,1.00,94.25,4.71
Punjab,Patiala,100.00%,92.64%,58.72%,34.35%,0.08,0.01,0.01,0.03,0.00,0.17,93.88,5.82
Punjab,Rupnagar,100.00%,92.42%,64.77%,51.06%,0.01,0.00,0.00,0.00,0.00,1.50,96.66,1.83
Punjab,S.A.S Nagar,7.97%,92.82%,32.47%,36.46%,0.00,0.00,0.00,0.09,0.12,2.32,95.76,1.71
Punjab,Sangrur,100.00%,95.28%,54.97%,6.16%,0.02,0.00,0.00,0.00,0.01,1.44,91.96,6.57
Punjab,Tarn Taran,100.00%,92.91%,58.77%,29.85%,0.00,0.00,0.00,0.00,0.00,1.12,88.83,10.05
Rajasthan,Ajmer,100.00%,86.82%,31.30%,8.57%,0.02,0.01,0.00,0.00,0.02,0.26,93.69,6.00
Rajasthan,Alwar,100.00%,98.20%,12.86%,19.30%,0.04,0.00,0.01,0.00,0.01,0.26,86.43,13.26
Rajasthan,Banswara,87.50%,58.00%,24.42%,8.81%,0.06,0.02,0.01,1.23,5.04,1.21,92.05,0.39
Rajasthan,Baran,0.00%,47.65%,19.24%,19.93%,0.05,0.00,0.02,1.09,3.30,0.20,93.72,1.62
Rajasthan,Barmer,0.00%,98.01%,20.09%,9.03%,0.06,0.00,0.01,0.01,0.01,0.05,68.30,31.56
Rajasthan,Bharatpur,100.00%,77.19%,38.19%,10.36%,0.04,0.01,0.02,0.33,0.71,5.55,84.69,8.65
Rajasthan,Bhilwara,100.00%,63.13%,27.46%,1.41%,0.06,0.00,0.01,0.06,0.17,1.59,89.03,9.08
Rajasthan,Bikaner,0.00%,97.94%,52.37%,1.21%,0.07,0.01,0.01,0.03,0.02,0.05,82.31,17.53
Rajasthan,Bundi,0.00%,43.62%,6.53%,3.23%,0.04,0.00,0.02,0.12,0.39,0.36,92.73,6.33
Rajasthan,Chittorgarh,0.00%,42.95%,6.13%,1.48%,0.03,0.01,0.01,0.02,0.04,0.84,97.51,1.55
Rajasthan,Churu,0.00%,99.36%,96.03%,1.61%,0.02,0.00,0.02,0.00,0.03,0.06,91.60,8.25
Rajasthan,Dausa,0.00%,95.07%,21.56%,3.55%,0.08,0.01,0.06,0.16,0.26,0.68,88.70,10.06
Rajasthan,Dholpur,100.00%,93.23%,25.04%,23.24%,0.02,0.02,0.00,0.00,0.07,0.24,91.44,8.20
Rajasthan,Dungarpur,100.00%,45.44%,12.03%,7.67%,0.04,0.00,0.00,0.08,0.66,0.46,98.68,0.07
Rajasthan,Ganganagar,100.00%,94.83%,24.63%,1.99%,0.07,0.01,0.01,0.02,0.02,0.12,90.54,9.20
Rajasthan,Hanumangarh,100.00%,96.92%,31.83%,6.95%,0.03,0.00,0.01,0.01,0.00,0.02,83.61,16.32
Rajasthan,Jaipur,83.34%,85.78%,29.27%,26.09%,0.12,0.00,0.00,0.03,0.08,0.41,81.90,17.46
Rajasthan,Jaisalmer,0.00%,99.77%,0.51%,1.03%,0.02,0.00,0.00,0.01,0.00,0.05,33.61,66.30
Rajasthan,Jalore,0.00%,91.55%,10.96%,11.55%,0.04,0.00,0.01,0.03,0.17,0.23,55.16,44.35
Rajasthan,Jhalawar,0.00%,65.10%,15.45%,5.02%,0.04,0.00,0.02,0.00,0.01,0.09,91.14,8.71
Rajasthan,Jhunjhunu,0.00%,91.67%,8.55%,23.06%,0.08,0.01,0.02,0.02,0.03,0.32,56.36,43.15
Rajasthan,Jodhpur,100.00%,94.53%,6.83%,5.56%,0.06,0.00,0.00,0.03,0.12,0.17,48.53,51.09
Rajasthan,Karauli,0.00%,56.11%,20.03%,6.33%,0.00,0.01,0.04,0.22,0.61,2.46,86.24,10.40
Rajasthan,Kota,100.00%,52.33%,20.33%,2.63%,0.25,0.02,0.01,0.09,0.19,0.14,95.37,3.94
Rajasthan,Nagaur,100.00%,94.00%,30.92%,12.83%,0.13,0.01,0.01,0.07,0.14,0.14,67.13,32.38
Rajasthan,Pali,88.89%,91.36%,16.82%,1.28%,0.11,0.03,0.06,0.18,0.45,0.22,80.91,18.04
Rajasthan,Pratapgarh,0.00%,64.72%,4.91%,2.94%,0.00,0.00,0.00,0.14,5.44,0.09,94.17,0.16
Rajasthan,Rajsamand,0.00%,55.97%,19.52%,4.01%,0.03,0.00,0.01,0.39,2.00,2.22,81.49,13.86
Rajasthan,Sawai Madhopur,0.00%,94.47%,39.06%,1.76%,0.02,0.03,0.00,0.05,0.13,1.03,96.64,2.11
Rajasthan,Sikar,0.00%,97.65%,18.76%,35.34%,0.03,0.00,0.01,0.01,0.02,0.05,66.77,33.11
Rajasthan,Sirohi,100.00%,73.47%,4.32%,1.37%,0.09,0.01,0.01,0.21,0.31,1.60,77.93,19.85
Rajasthan,Tonk,100.00%,91.53%,4.06%,8.29%,0.04,0.00,0.01,0.01,0.24,0.24,78.77,20.69
Rajasthan,Udaipur,100.00%,48.05%,32.12%,3.29%,0.01,0.00,0.00,0.46,1.26,5.24,87.97,5.05
Sikkim,East District,28.06%,0.21%,42.82%,2.36%,0.06,1.26,8.11,68.86,15.33,2.76,3.56,0.06
Sikkim,North District,37.07%,0.15%,54.11%,1.35%,0.00,0.00,4.19,61.29,19.43,5.53,9.42,0.15
Sikkim,South District,27.70%,0.56%,33.83%,4.48%,0.05,0.13,9.42,88.12,2.12,0.03,0.00,0.13
Sikkim,West District,27.18%,0.21%,46.37%,4.58%,0.00,0.03,5.26,67.57,18.74,3.67,4.58,0.15
Tamil Nadu,Ariyalur,99.93%,76.59%,41.61%,66.37%,0.29,0.03,1.59,7.60,8.44,3.25,76.40,2.41
Tamil Nadu,Coimbatore,99.56%,93.66%,98.47%,6.19%,0.62,0.03,0.18,4.62,5.34,5.06,83.02,1.15
Tamil Nadu,Cuddalore,99.83%,97.41%,40.90%,54.78%,0.18,0.51,4.11,10.62,16.05,4.08,63.38,1.07
Tamil Nadu,Dharmapuri,99.70%,98.40%,54.10%,34.98%,0.27,0.00,0.00,2.83,3.86,3.47,88.09,1.48
Tamil Nadu,Dindigul,89.68%,83.32%,32.92%,8.02%,0.03,0.00,0.35,3.28,3.08,5.54,86.34,1.38
Tamil Nadu,Erode,98.75%,88.88%,86.83%,22.47%,0.07,0.12,0.49,3.22,6.62,2.28,85.67,1.51
Tamil Nadu,Kanchipuram,99.68%,92.48%,12.49%,68.08%,1.19,0.01,0.42,12.05,16.46,6.43,62.78,0.66
Tamil Nadu,Kanniyakumari,95.01%,76.11%,45.07%,58.18%,0.12,5.95,21.13,53.90,9.53,1.66,7.70,0.01
Tamil Nadu,Karur,98.43%,40.63%,66.15%,18.58%,1.02,0.05,0.13,2.28,3.18,1.58,89.89,1.88
Tamil Nadu,Krishnagiri,99.09%,93.24%,48.94%,31.74%,0.47,0.03,0.54,23.88,17.33,5.56,51.69,0.50
Tamil Nadu,Madurai,95.98%,53.02%,27.61%,26.55%,0.40,0.15,1.73,8.87,8.54,0.67,75.74,3.90
Tamil Nadu,Nagapattinam,99.87%,69.62%,8.10%,29.83%,0.82,0.04,0.61,17.90,22.35,5.06,50.20,3.02
Tamil Nadu,Namakkal,95.45%,86.28%,53.62%,23.09%,0.10,0.01,1.01,4.13,3.05,0.43,81.68,9.58
Tamil Nadu,Perambalur,99.93%,77.07%,87.73%,21.22%,0.04,0.01,0.02,0.11,0.74,0.37,92.09,6.62
Tamil Nadu,Pudukkottai,98.90%,86.40%,42.91%,63.32%,0.19,0.67,6.45,32.83,14.40,1.99,42.15,1.32
Tamil Nadu,Ramanathapuram,99.71%,85.43%,38.52%,14.50%,1.33,0.64,6.65,20.53,8.87,0.63,56.36,4.99
Tamil Nadu,Salem,95.33%,94.79%,80.58%,16.95%,0.97,0.02,0.90,5.19,3.88,2.56,84.30,2.19
Tamil Nadu,Sivaganga,98.34%,94.43%,33.06%,17.11%,0.74,0.72,7.86,38.78,14.55,2.43,33.66,1.26
Tamil Nadu,Thanjavur,99.49%,54.88%,8.84%,65.25%,0.51,0.01,0.30,10.83,14.24,8.41,65.23,0.48
Tamil Nadu,The Nilgiris,96.57%,24.44%,29.43%,55.89%,1.84,12.90,40.73,37.77,4.24,0.52,1.81,0.18
Tamil Nadu,Theni,99.85%,99.79%,64.70%,22.68%,0.10,0.01,0.11,6.36,6.42,2.45,84.13,0.42
Tamil Nadu,Thiruvallur,99.83%,84.10%,24.09%,40.56%,0.28,0.02,0.28,24.24,31.86,6.88,36.25,0.18
Tamil Nadu,Thiruvarur,99.95%,80.80%,22.24%,28.53%,0.27,0.01,0.01,12.90,21.28,4.69,59.94,0.89
Tamil Nadu,Tiruchirappalli,99.93%,87.74%,59.10%,18.10%,0.04,0.01,0.36,3.58,5.61,1.78,83.00,5.63
Tamil Nadu,Tirunelveli,99.38%,84.61%,18.44%,18.31%,0.06,0.49,5.80,15.87,11.31,3.49,61.03,1.96
Tamil Nadu,Tiruppur,96.79%,73.67%,76.93%,8.54%,0.06,0.12,0.23,0.91,1.20,2.10,89.99,5.41
Tamil Nadu,Tiruvannamalai,94.51%,88.04%,64.07%,61.89%,0.09,0.00,0.00,2.44,13.35,8.89,74.90,0.33
Tamil Nadu,Tuticorin,99.93%,77.50%,74.04%,8.48%,0.29,0.08,2.34,5.03,4.88,0.43,84.89,2.05
Tamil Nadu,Vellore,89.36%,71.93%,80.04%,29.65%,0.17,0.05,0.32,4.49,7.42,0.42,81.96,5.17
