State,District,N,OC,P,K,AS%,SrAc%,HAc%,MAc%,SlAc%,N%,MAl%,SlAl%
Tamil Nadu,Villupuram,99.42%,73.87%,35.16%,48.65%,1.18,0.03,0.29,6.75,9.58,5.04,76.46,0.69
Tamil Nadu,Virudhunagar,99.08%,89.10%,73.53%,14.59%,0.21,0.11,1.52,3.97,3.14,1.01,81.21,8.82
Telangana,Adilabad,81.39%,93.29%,96.50%,37.11%,0.06,0.00,0.05,3.53,10.00,0.39,85.19,0.79
Telangana,BHADRADRI KOTHAGUDEM,69.01%,37.33%,57.33%,24.00%,22.97,0.00,16.22,31.08,10.81,1.35,17.57,0.00
Telangana,Jagitial,75.96%,76.77%,20.54%,28.74%,0.11,0.04,0.57,5.62,9.09,2.53,80.18,1.85
Telangana,JANGOAN,81.42%,62.08%,21.26%,16.77%,0.10,0.00,0.00,31.60,43.96,0.23,24.05,0.06
Telangana,JAYASHANKAR BHUPALAPALLY,80.26%,61.81%,27.49%,12.70%,0.00,0.97,0.00,1.45,4.35,2.90,89.86,0.48
Telangana,JOGULAMBA GADWAL,90.40%,48.68%,16.55%,41.87%,0.00,0.00,0.67,16.85,6.97,0.22,72.36,2.92
Telangana,KAMAREDDY,70.98%,50.76%,29.48%,25.93%,0.00,0.43,3.88,12.07,3.88,34.48,44.83,0.43
Telangana,Karimnagar,63.48%,73.36%,5.65%,3.41%,0.05,0.02,0.52,6.60,7.29,1.60,83.53,0.39
Telangana,Khammam,96.26%,57.86%,26.61%,45.77%,0.25,0.00,1.24,13.68,6.47,1.00,77.11,0.25
Telangana,KUMURAM BHEEM ASIFABAD,69.83%,85.31%,40.46%,13.30%,0.11,0.01,0.02,6.16,11.07,0.74,80.57,1.32
Telangana,MAHABUBABAD,82.77%,57.25%,31.78%,24.06%,0.00,0.00,4.55,40.91,31.82,4.55,18.18,0.00
Telangana,Mahbubnagar,96.01%,56.46%,0.57%,11.22%,0.85,0.00,1.42,22.41,0.85,1.42,72.48,0.57
Telangana,MANCHERIAL,67.44%,74.19%,30.07%,9.18%,0.37,0.01,0.12,3.82,8.39,0.66,85.23,1.38
Telangana,Medak,96.90%,23.58%,7.58%,0.68%,0.00,0.00,0.00,18.07,21.51,7.57,52.84,0.00
Telangana,MEDCHAL MALKAJGIRI,87.66%,48.08%,8.48%,22.94%,0.00,0.00,0.00,0.00,20.00,0.00,80.00,0.00
Telangana,Mulugu,86.66%,86.67%,26.66%,13.33%,0.00,6.67,6.67,13.33,13.33,6.67,53.33,0.00
Telangana,NAGARKURNOOL,78.35%,58.92%,9.50%,20.47%,0.00,3.85,11.54,7.69,34.62,0.00,42.31,0.00
Telangana,Nalgonda,42.48%,59.78%,24.06%,7.14%,0.38,0.00,0.00,7.92,4.15,1.51,85.66,0.38
Telangana,NARAYANAPET,90.68%,52.24%,12.87%,21.12%,1.30,0.37,2.61,37.24,10.24,1.30,45.07,1.86
Telangana,Nirmal,66.81%,76.83%,54.46%,31.88%,0.08,0.00,0.03,6.33,18.19,0.27,72.83,2.28
Telangana,Nizamabad,99.67%,99.11%,1.00%,75.51%,0.00,0.00,0.00,0.04,0.47,0.00,99.48,0.00
Telangana,PEDDAPALLI,71.78%,71.53%,20.94%,13.51%,0.12,0.00,0.06,1.64,6.79,4.00,86.96,0.42
Telangana,RAJANNA SIRCILLA,82.37%,60.39%,11.51%,23.71%,0.11,0.04,0.42,4.15,7.88,1.60,84.36,1.45
Telangana,Rangareddi,96.55%,60.52%,3.88%,43.04%,0.48,0.00,0.97,9.21,13.25,1.29,73.34,1.45
Telangana,SANGAREDDY,89.30%,47.87%,11.04%,23.54%,0.00,0.00,0.60,6.02,17.47,4.22,65.66,6.02
Telangana,SIDDIPET,80.83%,55.16%,13.83%,13.01%,0.00,0.02,2.23,5.59,8.66,3.34,77.46,2.70
Telangana,SURYAPET,69.37%,58.82%,25.34%,26.46%,0.44,0.00,0.00,17.90,12.23,0.00,69.43,0.00
Telangana,VIKARABAD,94.41%,56.41%,5.77%,25.13%,0.00,0.00,0.00,5.19,12.59,0.37,77.78,4.07
Telangana,WANAPARTHY,91.35%,57.26%,6.31%,20.39%,0.00,0.00,0.00,38.46,7.69,0.00,53.85,0.00
Telangana,Warangal Rural,89.60%,66.13%,24.82%,12.03%,0.00,0.00,0.00,39.29,14.29,10.71,35.71,0.00
Telangana,WARANGAL URBAN,96.43%,75.00%,17.85%,0.00%,0.16,0.00,0.16,10.68,5.18,1.73,81.63,0.47
Telangana,WARANGAL,93.01%,70.56%,21.33%,6.01%,0.08,0.00,0.08,24.99,9.74,6.22,58.67,0.24
Telangana,YADADRI BHUVANAGIRI,69.52%,60.15%,13.97%,25.09%,4.17,0.00,0.00,29.17,25.00,0.00,33.33,8.33
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,0.00%,38.35%,69.95%,0.72%,0.00,0.00,4.94,31.12,14.77,0.27,48.45,0.45
Tripura,Dhalai,50.00%,21.91%,46.54%,81.15%,0.28,2.52,63.64,33.20,0.00,0.00,0.00,0.35
Tripura,Gomati,63.26%,38.93%,54.65%,74.36%,0.20,5.72,49.29,36.71,2.99,1.59,2.86,0.63
Tripura,Khowai,15.39%,18.72%,51.77%,87.15%,1.33,1.51,55.47,40.78,0.07,0.00,0.00,0.84
Tripura,North Tripura,100.00%,25.89%,52.98%,85.18%,0.18,4.10,63.92,31.73,0.00,0.00,0.00,0.08
Tripura,Sepahijala,64.82%,25.04%,54.93%,81.97%,0.53,3.57,55.90,40.01,0.00,0.00,0.00,0.00
Tripura,South Tripura,50.00%,16.37%,58.62%,82.06%,1.26,2.55,60.50,35.61,0.00,0.00,0.02,0.05
Tripura,Unakoti,5.88%,13.70%,55.08%,88.29%,0.00,7.43,59.19,33.38,0.00,0.00,0.00,0.00
Tripura,West Tripura,20.70%,14.89%,56.48%,87.33%,0.71,2.85,55.96,40.07,0.11,0.00,0.06,0.24
Uttar Pradesh,Agra,99.60%,93.61%,90.55%,4.03%,2.13,0.02,0.00,0.04,0.03,5.02,92.46,0.29
Uttar Pradesh,Aligarh,97.60%,96.48%,98.21%,7.72%,0.03,0.01,0.00,0.29,1.03,6.75,91.51,0.38
Uttar Pradesh,Allahabad,97.36%,95.73%,96.47%,5.40%,3.71,0.01,0.00,0.02,0.04,4.32,91.74,0.15
Uttar Pradesh,Ambedkar Nagar,99.82%,97.74%,94.62%,38.02%,0.26,0.04,0.01,0.36,1.55,3.25,94.42,0.10
Uttar Pradesh,Amethi,53.30%,89.36%,97.58%,22.16%,1.56,0.02,0.48,2.33,21.88,3.55,69.06,1.12
Uttar Pradesh,Amroha,99.81%,91.16%,93.27%,24.08%,0.16,0.02,0.00,1.83,2.12,12.12,83.51,0.24
Uttar Pradesh,Auraiya,99.88%,95.28%,96.43%,1.02%,0.06,0.00,0.00,0.00,0.00,6.45,93.39,0.09
Uttar Pradesh,Ayodhya,99.83%,98.64%,98.87%,2.55%,0.08,0.05,0.01,0.28,4.42,0.20,94.68,0.28
Uttar Pradesh,Azamgarh,99.53%,81.67%,93.51%,31.25%,0.35,0.00,0.00,0.02,0.01,0.60,98.91,0.10
Uttar Pradesh,Baghpat,99.93%,94.11%,93.62%,58.60%,0.23,0.02,0.01,0.03,0.55,1.16,97.69,0.31
Uttar Pradesh,Bahraich,99.90%,91.50%,99.54%,0.62%,0.07,0.02,0.01,2.35,5.97,4.58,86.78,0.22
Uttar Pradesh,Ballia,100.00%,99.16%,99.70%,34.61%,0.02,0.00,0.00,0.00,0.00,6.55,93.36,0.05
Uttar Pradesh,Balrampur,99.73%,83.73%,94.20%,48.42%,0.07,0.02,0.00,0.05,1.72,16.23,81.88,0.04
Uttar Pradesh,Banda,99.82%,92.42%,93.35%,58.01%,0.12,0.01,0.00,0.91,2.35,35.70,60.83,0.07
Uttar Pradesh,Barabanki,98.84%,95.53%,95.71%,27.81%,0.74,0.12,0.06,2.43,8.81,4.75,82.59,0.50
Uttar Pradesh,Bareilly,99.90%,93.03%,77.87%,48.66%,0.14,0.03,0.07,0.64,1.91,7.73,89.19,0.28
Uttar Pradesh,Basti,99.80%,95.13%,96.93%,5.96%,1.51,0.16,0.05,2.60,10.23,11.71,71.87,1.87
Uttar Pradesh,Bijnor,99.37%,93.29%,97.45%,24.84%,0.10,0.02,0.00,0.36,0.68,5.04,93.56,0.23
Uttar Pradesh,Budaun,99.76%,64.52%,72.88%,39.82%,2.84,0.02,0.03,1.14,13.60,12.10,70.09,0.18
Uttar Pradesh,Bulandshahr,99.75%,93.27%,98.36%,16.54%,1.18,0.01,0.01,1.20,4.81,3.81,87.78,1.20
Uttar Pradesh,Chandauli,98.59%,97.24%,98.45%,24.52%,0.01,0.01,0.00,0.04,3.52,5.79,90.56,0.05
Uttar Pradesh,Chitrakoot,99.77%,79.04%,97.08%,47.93%,0.04,0.01,0.00,0.00,0.82,17.68,81.37,0.07
Uttar Pradesh,Deoria,99.61%,84.71%,95.11%,7.00%,1.09,0.02,0.01,0.10,0.54,9.65,88.49,0.10
Uttar Pradesh,Etah,99.79%,96.14%,99.47%,0.78%,0.11,0.02,0.01,0.88,1.63,0.33,95.70,1.33
Uttar Pradesh,Etawah,99.58%,97.42%,98.32%,31.66%,0.05,0.01,0.00,0.01,0.09,1.46,98.16,0.22
Uttar Pradesh,Farrukhabad,99.96%,96.30%,94.44%,4.95%,0.77,0.01,0.07,0.00,0.00,5.22,93.77,0.16
Uttar Pradesh,Fatehpur,98.11%,97.07%,93.92%,4.20%,4.85,0.01,0.00,0.22,0.04,7.87,86.93,0.08
Uttar Pradesh,Firozabad,98.61%,93.18%,80.30%,18.85%,0.69,0.01,0.03,0.03,3.08,1.38,94.31,0.47
Uttar Pradesh,Gautam Buddha Nagar,99.85%,79.94%,97.91%,12.60%,0.01,0.00,0.09,0.01,0.35,0.04,99.29,0.19
Uttar Pradesh,Ghaziabad,99.94%,85.03%,95.02%,10.09%,0.10,0.01,0.01,0.02,0.37,1.90,97.26,0.34
Uttar Pradesh,Ghazipur,99.84%,92.96%,97.16%,42.68%,0.06,0.02,0.01,0.01,0.06,2.32,97.40,0.11
Uttar Pradesh,Gonda,97.52%,95.44%,95.20%,49.47%,0.47,0.03,0.01,0.52,0.32,3.72,94.13,0.80
Uttar Pradesh,Gorakhpur,99.87%,78.73%,97.51%,38.70%,2.49,0.03,0.01,0.27,2.60,8.00,86.19,0.41
Uttar Pradesh,Hamirpur,99.94%,87.08%,90.76%,20.59%,0.06,0.01,0.02,0.05,0.91,7.74,91.06,0.16
Uttar Pradesh,Hapur,99.85%,86.67%,85.88%,29.63%,0.92,0.09,0.50,2.13,2.25,2.80,89.93,1.37
Uttar Pradesh,Hardoi,99.77%,96.62%,36.88%,0.62%,0.08,0.01,0.00,0.00,0.01,0.03,99.78,0.08
Uttar Pradesh,Hathras,99.78%,95.27%,99.13%,23.48%,0.06,0.01,0.00,0.70,2.25,2.06,94.34,0.57
Uttar Pradesh,Jalaun,99.49%,75.75%,98.11%,1.13%,0.02,0.01,0.09,0.74,10.31,8.70,80.07,0.06
Uttar Pradesh,Jaunpur,99.23%,6.80%,98.24%,44.39%,0.12,0.22,0.00,0.76,0.17,1.59,97.01,0.13
Uttar Pradesh,Jhansi,99.77%,79.36%,94.10%,2.44%,0.30,0.01,0.00,0.05,1.72,12.21,85.50,0.20
Uttar Pradesh,Kannauj,99.93%,98.96%,98.98%,1.57%,0.05,0.01,0.00,0.92,2.29,3.73,92.81,0.19
Uttar Pradesh,Kanpur Dehat,99.87%,93.31%,94.12%,8.44%,0.16,0.03,0.04,0.06,1.43,1.73,93.54,3.01
Uttar Pradesh,Kanpur Nagar,99.93%,91.61%,97.54%,1.83%,0.06,0.00,0.01,0.03,0.14,0.32,99.09,0.36
Uttar Pradesh,Kasganj,99.81%,92.63%,94.64%,5.22%,0.03,0.01,0.00,2.08,4.96,5.23,87.42,0.27
Uttar Pradesh,Kaushambi,95.32%,92.51%,91.86%,9.73%,5.54,0.01,0.00,0.35,0.23,2.87,90.44,0.57
Uttar Pradesh,Kheri,99.62%,97.71%,98.10%,6.20%,0.20,0.01,0.01,0.89,6.43,0.49,91.07,0.91
Uttar Pradesh,Kushi Nagar,99.74%,91.43%,89.45%,37.97%,0.55,0.06,0.01,0.06,0.63,4.59,93.98,0.12
Uttar Pradesh,Lalitpur,99.32%,78.44%,97.24%,1.88%,0.07,0.01,0.01,0.14,3.41,9.59,86.59,0.18
Uttar Pradesh,Lucknow,99.58%,58.53%,74.76%,8.80%,0.08,0.01,0.00,0.26,2.39,3.05,93.84,0.36
Uttar Pradesh,Maharajganj,99.78%,51.46%,97.16%,26.77%,0.17,0.01,0.01,1.42,1.23,5.35,91.69,0.14
Uttar Pradesh,Mahoba,99.83%,94.04%,96.45%,5.49%,0.22,0.02,0.01,0.31,4.06,13.37,81.84,0.17
Uttar Pradesh,Mainpuri,99.28%,91.86%,91.26%,14.76%,0.29,0.02,0.02,0.59,0.76,0.72,96.81,0.79
Uttar Pradesh,Mathura,99.83%,70.02%,65.99%,4.68%,0.15,0.02,0.02,0.28,0.50,0.50,96.01,2.52
Uttar Pradesh,Mau,99.77%,87.45%,96.60%,30.85%,1.08,0.01,0.00,0.11,0.09,0.33,98.03,0.35
Uttar Pradesh,Meerut,99.87%,90.80%,95.67%,28.41%,0.66,0.01,0.00,0.04,0.40,1.77,97.04,0.08
Uttar Pradesh,Mirzapur,99.09%,77.89%,86.61%,16.66%,0.62,0.01,0.00,3.57,7.70,3.67,84.36,0.07
Uttar Pradesh,Moradabad,99.57%,78.91%,85.17%,32.33%,0.57,0.04,0.01,0.19,6.92,10.21,81.91,0.15
Uttarakhand,Almora,100.00%,21.49%,51.87%,3.77%,0.00,0.02,0.00,17.59,25.80,11.33,45.22,0.04
Uttarakhand,Bageshwar,100.00%,21.37%,10.28%,11.05%,0.00,0.04,0.00,12.55,51.66,6.48,29.11,0.16
Uttarakhand,Chamoli,100.00%,10.26%,6.60%,14.19%,0.09,0.13,21.65,38.80,0.18,36.53,2.54,0.09
Uttarakhand,Champawat,100.00%,14.86%,13.78%,20.61%,0.09,0.00,0.00,31.23,34.97,2.74,30.92,0.04
Uttarakhand,Dehradun,34.34%,5.42%,7.35%,29.10%,0.09,0.01,0.30,11.57,32.35,2.38,52.71,0.59
Uttarakhand,Haridwar,97.94%,58.31%,15.79%,22.50%,0.03,0.01,0.00,0.28,9.55,10.04,80.00,0.09
Uttarakhand,Nainital,99.98%,11.66%,34.41%,32.17%,0.00,0.03,0.00,1.72,11.95,6.27,79.97,0.07
Uttarakhand,Pauri Garhwal,95.65%,15.69%,2.91%,1.24%,0.00,0.01,0.05,3.46,17.39,5.48,73.57,0.05
Uttarakhand,Pithoragarh,100.00%,22.69%,17.88%,17.65%,0.03,0.00,1.47,29.78,26.49,3.92,38.26,0.05
Uttarakhand,Rudra Prayag,97.50%,6.85%,1.16%,47.30%,0.64,0.00,0.26,11.68,33.63,15.15,38.64,0.00
Uttarakhand,Tehri Garhwal,96.67%,20.33%,27.08%,20.96%,0.02,0.02,0.75,51.72,25.23,8.33,13.78,0.16
Uttarakhand,Udam Singh Nagar,99.38%,70.30%,60.08%,48.28%,0.02,0.01,0.00,0.19,0.93,0.61,98.19,0.04
Uttarakhand,Uttar Kashi,48.84%,2.79%,1.28%,49.09%,0.17,0.00,0.10,53.02,41.11,1.86,3.69,0.03
West Bengal,24 Paraganas North,59.60%,59.59%,0.00%,6.06%,0.00,0.00,5.05,14.14,7.07,5.05,68.69,0.00
West Bengal,24 Paraganas South,27.52%,25.47%,6.60%,21.37%,0.04,3.44,24.45,46.65,11.93,0.74,12.61,0.15
West Bengal,Alipurduar,78.26%,27.91%,3.53%,46.51%,0.04,5.60,46.07,42.60,4.35,0.44,0.83,0.08
West Bengal,Bankura,17.79%,16.91%,1.06%,5.46%,0.03,1.17,64.38,29.79,2.04,0.32,2.25,0.02
West Bengal,Bardhaman,36.93%,20.89%,14.73%,47.93%,0.00,1.21,28.74,47.98,7.69,1.62,12.65,0.10
West Bengal,Birbhum,63.90%,63.07%,3.73%,10.79%,0.00,0.83,11.20,19.92,11.62,6.22,50.21,0.00
West Bengal,Coochbehar,55.42%,33.93%,2.38%,52.98%,0.61,16.36,56.97,23.64,1.21,0.00,1.21,0.00
West Bengal,Darjeeling,100.00%,0.00%,0.00%,26.47%,0.00,0.00,76.47,23.53,0.00,0.00,0.00,0.00
West Bengal,Dinajpur Dakshin,16.98%,15.10%,5.66%,0.00%,0.00,0.00,0.00,0.00,0.00,5.66,94.34,0.00
West Bengal,Dinajpur Uttar,100.00%,0.00%,0.00%,25.00%,0.00,0.00,0.00,75.00,25.00,0.00,0.00,0.00
West Bengal,Hooghly,33.71%,26.88%,0.65%,1.20%,0.17,7.52,46.20,32.98,7.16,0.19,5.76,0.03
West Bengal,Howrah,14.66%,26.66%,73.33%,5.33%,0.00,1.33,16.00,50.67,24.00,1.33,6.67,0.00
West Bengal,Jalpaiguri,78.08%,18.55%,5.28%,37.64%,1.31,11.51,55.13,24.32,2.67,0.77,4.25,0.04
West Bengal,KALIMPONG,0.00%,0.00%,0.00%,100.00%,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
West Bengal,Maldah,73.33%,72.88%,3.62%,9.80%,0.03,0.28,13.26,20.97,11.62,2.47,51.12,0.26
West Bengal,Medinipur East,100.00%,100.00%,0.00%,33.33%,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
West Bengal,Medinipur West,95.26%,36.05%,4.24%,3.91%,0.00,0.21,3.16,2.95,0.53,3.26,89.79,0.11
West Bengal,Murshidabad,16.28%,39.48%,0.62%,21.20%,0.04,0.43,6.03,25.25,9.60,0.63,54.42,3.61
West Bengal,Nadia,31.68%,41.45%,0.66%,23.57%,0.01,0.00,0.42,7.51,8.56,1.83,78.02,3.65
West Bengal,Purulia,50.27%,50.29%,11.25%,2.59%,0.01,0.03,47.89,51.82,0.23,0.00,0.02,0.00
,NEW DISTRICTS,,,,,,,,,,,,
ANDHRA PRADESH,Kadapa,95.09%,44.85%,12.32%,34.12%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
Arunachal Pradesh,Anjaw,3.79%,13.39%,83.09%,18.16%,0.09,6.22,58.95,31.93,1.39,0.46,0.87,0.10
Arunachal Pradesh,Longding,53.70%,20.86%,94.06%,65.19%,0.08,14.48,26.34,54.81,0.79,0.17,3.21,0.13
Arunachal Pradesh,Tirap,58.33%,27.22%,98.11%,78.63%,0.13,8.07,30.68,49.49,2.05,0.38,9.14,0.08
Arunachal Pradesh,Namsai,27.94%,24.50%,88.98%,44.26%,0.13,7.35,45.90,31.17,2.56,0.58,12.26,0.07
Assam,Dima Hasao,51.39%,16.25%,74.77%,54.83%,0.15,9.66,57.72,17.45,8.21,0.12,6.68,0.01
Bihar,Jehanabad,30.20%,25.66%,22.58%,36.64%,0.05,0.03,2.14,9.79,15.56,2.33,69.95,0.15
Bihar,Lakhisarai,73.34%,45.99%,10.61%,12.29%,0.08,0.01,4.03,8.65,17.47,3.83,57.82,8.10
Maharashtra,Mumbai,16.83%,11.81%,19.11%,8.18%,0.11,0.76,3.36,39.58,27.63,4.00,24.44,0.13
Bihar,SHEOHAR,81.72%,35.07%,12.38%,52.43%,0.08,0.00,0.01,8.58,15.19,0.21,70.19,5.73
Jharkhand,Deoghar,86.25%,66.06%,42.66%,61.67%,0.08,0.00,0.01,8.58,15.19,0.21,70.19,5.73
Manipur,Churachandpur,66.67%,19.54%,72.41%,100.00%,33.33,0.00,33.33,2.30,10.34,0.00,20.69,0.00
Manipur,Imphal East,66.67%,0.00%,66.67%,86.42%,33.33,0.00,0.00,7.41,41.98,0.00,17.28,0.00
Manipur,Imphal West,55.56%,0.00%,55.56%,95.47%,44.44,0.00,0.00,2.47,47.33,0.00,5.76,0.00
Manipur,Senapati,42.13%,13.81%,74.85%,43.79%,0.23,10.07,30.60,23.31,12.44,0.12,23.19,0.03
Puducherry,Mahe,100.00%,17.15%,43.63%,32.21%,0.08,2.60,35.82,48.47,7.68,1.31,3.99,0.08
Puducherry,Yanam,95.82%,24.80%,13.70%,18.62%,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
Uttar Pradesh,Muzaffarnagar,99.76%,85.86%,91.29%,81.24%,0.09,0.03,0.01,0.19,0.63,0.12,98.87,0.06
Uttar Pradesh,Pilibhit,99.95%,83.75%,94.35%,72.90%,0.05,0.01,0.00,0.00,0.02,0.74,99.16,0.03
Uttar Pradesh,Pratapgarh,99.60%,96.40%,97.01%,4.36%,2.07,0.00,0.00,0.37,0.21,6.37,90.48,0.49
Uttar Pradesh,Rae Bareli,99.71%,88.98%,87.17%,11.76%,1.75,0.02,0.01,0.96,0.54,2.08,91.39,3.26
Uttar Pradesh,Rampur,99.77%,94.25%,97.90%,32.58%,0.13,0.02,0.01,0.57,1.99,8.25,88.83,0.20
Uttar Pradesh,Saharanpur,99.94%,94.07%,98.49%,49.35%,0.11,0.02,0.03,0.21,0.61,0.02,98.78,0.22
Uttar Pradesh,Sambhal,99.49%,97.41%,98.34%,20.05%,0.10,0.02,0.07,2.52,4.11,17.42,75.53,0.24
Uttar Pradesh,Sant Kabeer Nagar,99.79%,92.21%,64.04%,21.73%,0.11,0.02,0.01,3.56,9.07,6.27,77.28,3.69
Uttar Pradesh,Sant Ravidas Nagar,98.78%,95.21%,94.67%,8.22%,0.06,0.01,0.05,0.10,0.57,1.67,97.39,0.15
Uttar Pradesh,Shahjahanpur,99.77%,94.22%,96.36%,26.80%,0.21,0.03,0.17,3.95,8.90,7.93,78.47,0.35
Uttar Pradesh,Shamli,100.00%,92.36%,98.99%,20.61%,0.61,0.00,0.01,0.08,0.90,0.81,97.47,0.13
Uttar Pradesh,Shravasti,21.25%,95.28%,97.85%,10.99%,0.23,0.06,0.02,3.39,21.22,4.59,70.06,0.44
Uttar Pradesh,Siddharth Nagar,99.78%,62.13%,34.34%,6.44%,0.09,0.03,0.01,0.72,26.87,15.33,56.82,0.12
Uttar Pradesh,Sitapur,99.34%,92.91%,83.45%,39.53%,0.09,0.01,0.01,0.23,1.87,4.31,93.10,0.38
Uttar Pradesh,Sonbhadra,41.90%,86.84%,97.41%,0.62%,0.02,0.00,0.01,2.01,11.84,1.84,84.15,0.13
Uttar Pradesh,Sultanpur,99.83%,94.26%,80.08%,21.47%,0.10,0.08,0.00,1.38,0.31,1.66,94.23,2.24
Uttar Pradesh,Unnao,99.77%,83.15%,92.41%,1.00%,0.07,0.01,0.02,0.14,0.09,0.08,99.44,0.16
Uttar Pradesh,Varanasi,99.82%,84.18%,78.56%,8.60%,0.04,0.01,0.01,0.03,0.50,1.00,98.33,0.09
Telangana,Hyderabad,79.59%,57.04%,11.67%,16.74%,0.00,1.94,6.89,6.64,21.64,1.67,59.89,1.35
